nosams,glodap
06AQ20101128,06AQ20101128
06MT20110428,06MT20110405
096U20160426,096U20160426
09AR9601_1,09AR19960822
18DD9403/1,18DD19940906
18DD9403/2,18DD19940906
316N138/10,316N19921204
316N138/12,316N19930222
316N138/3,316N19920502
316N138/4,316N19920502
316N138/5,316N19920502
316N138/7,316N19920901
316N138/9,316N19921006
316N145/10,316N19950715
316N145/11,316N19950829
316N145/13,316N19951111
316N145/14,316N19951202
316N145/15,316N19951202
316N145/5,316N19941201
316N145/6,316N19950124
316N145/7,316N19950310
316N145/8,316N19950423
316N145/9,316N19950611
316N151/3,316N19970717
316N151/4,316N19970815
316N200309,316N20030922
316N200310,316N20031023
316N20101015,316N20101015
316N20111106,316N20111106
318M200406,318M20040615
318M20091121,318M20091121
318M20100105,318M20100105
318M20130321,318M20130321
318M20130508,318M20130508
31DSCG96/1,31DS19960105
31DSCG96/2,31DS19960105
31DSCGC91/1,31DS19910216
31DSCGC91/2,31DS19910216
31DSCGC94/2,31DS19940126
31DSCGC94/3,31DS19940126
31WTTUNES/1,31WT19910531
31WTTUNES/2,31WT19910716
31WTTUNES/3,31WT19910831
320620110219,320620110219
320620140320,320620140320
3206NBP/13,NA
3220CGC92/0,322019920816
3220CGC92/1,322019920816
3220CGC92/2,322019920816
3250200602,325020060213
325021/1,325019930515
3250TN026/1,325019931005
33AT20120324,33AT20120324
33AT20120419,33AT20120419
33R0200501,33RO20050111
33RO200306/1,33RO20030604
33RO200306/2,33RO20030604
33RO20100308,33RO20100308
33RO20110926,33RO20110926
33RO20130803,33RO20130803
33RO20131223,33RO20131223
33RO20150410,33RO20150410
33RO20150525,33RO20150525
33RO20161119,33RO20161119
33RR200501,33RO20050111
33RR20070204,33RR20070204
33RR20070322,33RR20070322
33RR20080204,33RR20080204
33RR20090320,33RR20090320
33RR20160208,33RR20160208
33RR20160321,33RR20160321
49K6KY9901/1,NA
49MR99K05/1,49NZ19990823
49MR99K05/2,49NZ19990823
58GS20130717,58GS20130717
ANDREX01,740H20081226
ANDREX2,74JC20100319
OACES98,33RO19980123
RITS91/1,31DS19910216
RITS91/2,31DS19910216
RITS93,NA
RUKDIOFFE6/1,90KD19920214
