client_lname	rec_num	cl_id	cl_type	gs_num	gs_co2_yield	gs_dc_13	date_rec	dc13_submit_value	sample_num	mass_spec	sample_type	sample_desc	ms_date	gs_date	
Quay	3873	IXSL0500	Intercalibration Samples CO2	247	198.71	-1.778	6/22/1993 00:00:00		247	PRISM	4		8/3/1993 16:50:19	7/9/1993 00:00:00	616
Quay	3874	IXSL0501	Intercalibration Samples CO2	248	197.2	-1.784	6/22/1993 00:00:00		248	PRISM	4		8/3/1993 17:08:52	7/9/1993 00:00:00	617
Quay	3875	IXSL0502	Intercalibration Samples CO2	249	195.9	-1.774	6/22/1993 00:00:00		249	PRISM	4		8/3/1993 17:27:24	7/9/1993 00:00:00	617
Quay	6599	Case:1  Nis Bot:32	P13N 5 75m	276	194.95	0.533	5/5/1994 00:00:00	0.43	276	PRISM	4		6/6/1994 07:51:12	6/3/1994 00:00:00	79
Quay	14060	Case:1  Nis Bot:1	31DSCGS94/2 P18S Sta:16	1860	181.5	0.4469999969005585	3/14/1996 00:00:00	0.44	1860	OPTIMA	4		12/11/1996 09:20:00	12/10/1996 00:00:00	33
Quay	14071	Case:1  Nis Bot:23	31DSCGC94/2 P18S Sta:22	1871	146.6999969482422	0.6600000262260437	3/14/1996 00:00:00	0.54	1871	OPTIMA	4		12/23/1996 16:09:00	12/20/1996 00:00:00	88
Quay	14081	Case:1  Nis Bot:11	31DSCGC94/2 P18S Sta:22	1877	162.3000030517578		3/14/1996 00:00:00	0.38	1877	OPTIMA	4		1/8/1997 20:55:00	1/8/1997 00:00:00	20
Quay	14084	Case:1  Nis Bot:8	31DSCGC94/2 P18S Sta:22	1883	209.1999969482422		3/14/1996 00:00:00	0.43	1883	OPTIMA	4		1/9/1997 18:17:00	1/9/1997 00:00:00	18
Quay	14087	Case:1  Nis Bot:5	31DSCGC94/2 P18S Sta:22	1884	208.1000061035156		3/14/1996 00:00:00	0.41	1884	OPTIMA	4		1/9/1997 18:44:00	1/9/1997 00:00:00	18
Quay	14089	Case:1  Nis Bot:2	31DSCGC94/2 P18S Sta:22	1875	232.6999969482422		3/14/1996 00:00:00	0.42	1875	OPTIMA	4		1/8/1997 20:17:00	1/8/1997 00:00:00	20
Quay	14609	Case:1  Nis Bot:24	316N145/5 I8S/I9S Sta:27	2697	131	1.440999984741211	9/6/1996 00:00:00	1.4	2697	OPTIMA	4	GS-2697	8/6/1998 19:59:00	8/5/1998 00:00:00	43
Quay	14662	Case:1  Nis Bot:36	316N145/5 I8S/I9S Sta:41	2700	153.6000061035156	1.685999989509583	9/6/1996 00:00:00	1.68	2700	OPTIMA	4	GS-2700	8/6/1998 21:34:00	8/5/1998 00:00:00	45
Quay	14723	Case:1  Nis Bot:36	316N145/5 I8S/I9S Sta:56	2538	148.3999938964844	1.730000019073486	9/6/1996 00:00:00	1.72	2538	OPTIMA	4	GS-2538	4/9/1998 14:17:00	4/9/1998 00:00:00	14
Quay	14744	Case:1  Nis Bot:36	316N145/5 I8S/I9S Sta:62	2702	124.6999969482422	1.598000049591064	9/6/1996 00:00:00	1.58	2702	OPTIMA	4	GS-2702	8/11/1998 18:24:00	8/11/1998 00:00:00	18
